"Kafli","Undirheiti kafla","Kaflaröðun","Gr.","Málsgr.","Málsl.","Titill greinar","Efni"
"II. kafli","Mannréttindi og náttúra",3,15,3,2,"Upplýsingaréttur","Listi yfir öll mál og gögn í vörslu hins opinbera, uppruna þeirra og innihald, skal vera öllum aðgengilegur."
"II. kafli","Mannréttindi og náttúra",3,15,4,1,"Upplýsingaréttur","Söfnun, miðlun og afhendingu gagna, geymslu þeirra og birtingu má aðeins setja skorður með lögum í lýðræðislegum tilgangi, svo sem vegna persónuverndar, friðhelgi einkalífs, öryggis ríkisins eða lögbundins starfs eftirlitsstofnana."
"II. kafli","Mannréttindi og náttúra",3,15,4,2,"Upplýsingaréttur","Heimilt er í lögum að takmarka aðgang að vinnuskjölum enda sé ekki gengið lengra en þörf krefur til að varðveita eðlileg starfsskilyrði stjórnvalda."
"II. kafli","Mannréttindi og náttúra",3,15,5,1,"Upplýsingaréttur","Um gögn sem lögbundin leynd hvílir yfir skulu liggja fyrir upplýsingar um ástæður leyndar og takmörkun leyndartíma."
"II. kafli","Mannréttindi og náttúra",3,16,1,1,"Frelsi fjölmiðla ","Frelsi fjölmiðla, ritstjórnarlegt sjálfstæði þeirra og gegnsætt eignarhald skal tryggja með lögum."
"II. kafli","Mannréttindi og náttúra",3,16,2,1,"Frelsi fjölmiðla ","Vernd blaðamanna, heimildarmanna og uppljóstrara skal tryggja í lögum."
"II. kafli","Mannréttindi og náttúra",3,16,2,2,"Frelsi fjölmiðla ","Óheimilt er að rjúfa nafnleynd án samþykkis þess sem veitir upplýsingar nema við meðferð sakamáls og samkvæmt dómsúrskurði."
"II. kafli","Mannréttindi og náttúra",3,17,1,1,"Frelsi menningar og mennta","Tryggja skal með lögum frelsi vísinda, fræða og lista."
"II. kafli","Mannréttindi og náttúra",3,18,1,1,"Trúfrelsi","Öllum skal tryggður réttur til trúar og lífsskoðunar, þar með talinn rétturinn til að breyta um trú eða sannfæringu og standa utan trúfélaga."
"II. kafli","Mannréttindi og náttúra",3,18,2,1,"Trúfrelsi","Öllum er frjálst að iðka trú, einslega eða í samfélagi með öðrum, opinberlega eða á einkavettvangi."
"II. kafli","Mannréttindi og náttúra",3,18,3,1,"Trúfrelsi","Frelsi til að rækja trú eða sannfæringu skal einungis háð þeim takmörkunum, sem lög mæla fyrir um og nauðsyn ber til í lýðræðislegu þjóðfélagi."
"II. kafli","Mannréttindi og náttúra",3,19,1,1,"Kirkjuskipan","Í lögum má kveða á um kirkjuskipan ríkisins."
"II. kafli","Mannréttindi og náttúra",3,19,2,1,"Kirkjuskipan","Nú samþykkir Alþingi breytingu á kirkjuskipan ríkisins og skal þá leggja það mál undir atkvæði allra kosningabærra manna í landinu til samþykktar eða synjunar."
"II. kafli","Mannréttindi og náttúra",3,20,1,1,"Félagafrelsi","Öllum skal tryggður réttur til að stofna félög í löglegum tilgangi, þar með talin stjórnmálafélög og stéttarfélög, án þess að sækja um leyfi til þess."
"II. kafli","Mannréttindi og náttúra",3,20,1,2,"Félagafrelsi","Félag má ekki leysa upp með ráðstöfun stjórnvalds."
"II. kafli","Mannréttindi og náttúra",3,20,2,1,"Félagafrelsi","Engan má skylda til aðildar að félagi."
"II. kafli","Mannréttindi og náttúra",3,20,2,2,"Félagafrelsi","Með lögum má þó kveða á um slíka skyldu ef það er nauðsynlegt til að félag geti sinnt lögmæltu hlutverki vegna almannahagsmuna eða réttinda annarra."
"II. kafli","Mannréttindi og náttúra",3,21,1,1,"Fundafrelsi","Öllum skal tryggður réttur til að safnast saman án sérstaks leyfis, svo sem til fundahalda og mótmæla."
"II. kafli","Mannréttindi og náttúra",3,21,1,2,"Fundafrelsi","Réttur þessi skal ekki háður öðrum takmörkunum en þeim sem lög mæla fyrir um og nauðsyn ber til í lýðræðislegu þjóðfélagi."
"II. kafli","Mannréttindi og náttúra",3,22,1,1,"Félagsleg réttindi","Öllum skal með lögum tryggður réttur til lífsviðurværis og félagslegs öryggis."
"II. kafli","Mannréttindi og náttúra",3,22,2,1,"Félagsleg réttindi","Öllum, sem þess þurfa, skal tryggður í lögum réttur til almannatrygginga og félagslegrar aðstoðar, svo sem vegna atvinnuleysis, barneigna, elli, fátæktar, fötlunar, veikinda, örorku eða sambærilegra aðstæðna."
"II. kafli","Mannréttindi og náttúra",3,23,1,1,"Heilbrigðisþjónusta","Allir eiga rétt til að njóta andlegrar og líkamlegrar heilsu að hæsta marki sem unnt er."
"II. kafli","Mannréttindi og náttúra",3,23,2,1,"Heilbrigðisþjónusta","Öllum skal með lögum tryggður réttur til aðgengilegrar, viðeigandi og fullnægjandi heilbrigðisþjónustu."
"II. kafli","Mannréttindi og náttúra",3,24,1,1,"Menntun","Öllum skal tryggður í lögum réttur til almennrar menntunar og fræðslu við sitt hæfi."
"II. kafli","Mannréttindi og náttúra",3,24,2,1,"Menntun","Öllum þeim, sem skólaskylda nær til, skal standa til boða menntun án endurgjalds."
"II. kafli","Mannréttindi og náttúra",3,24,3,1,"Menntun","Menntun skal miða að alhliða þroska hvers og eins, gagnrýninni hugsun og vitund um mannréttindi, lýðræðisleg réttindi og skyldur."
"II. kafli","Mannréttindi og náttúra",3,25,1,1,"Atvinnufrelsi","Öllum er frjálst að stunda þá atvinnu sem þeir kjósa."
"II. kafli","Mannréttindi og náttúra",3,25,1,2,"Atvinnufrelsi","Þessu frelsi má þó setja skorður með lögum ef almannahagsmunir krefjast."
"II. kafli","Mannréttindi og náttúra",3,25,2,1,"Atvinnufrelsi","Í lögum skal kveða á um rétt til mannsæmandi vinnuskilyrða, svo sem hvíldar, orlofs og frítíma."
"II. kafli","Mannréttindi og náttúra",3,25,2,2,"Atvinnufrelsi","Öllum skal tryggður réttur til sanngjarnra launa og til að semja um starfskjör og önnur réttindi tengd vinnu."
"II. kafli","Mannréttindi og náttúra",3,26,1,1,"Dvalarréttur og ferðafrelsi","Allir skulu ráða búsetu sinni og vera frjálsir ferða sinna með þeim takmörkunum sem eru settar með lögum."
"II. kafli","Mannréttindi og náttúra",3,26,2,1,"Dvalarréttur og ferðafrelsi","Engum verður meinað að hverfa úr landi nema með ákvörðun dómstóla."
"II. kafli","Mannréttindi og náttúra",3,26,2,2,"Dvalarréttur og ferðafrelsi","Stöðva má þó brottför manns úr landi með lögmætri handtöku."
"II. kafli","Mannréttindi og náttúra",3,26,3,1,"Dvalarréttur og ferðafrelsi","Með lögum skal kveða á um rétt flóttamanna og hælisleitenda til réttlátrar og skjótrar málsmeðferðar."
"II. kafli","Mannréttindi og náttúra",3,27,1,1,"Frelsissvipting","Engan má svipta frelsi nema samkvæmt heimild í lögum."
"II. kafli","Mannréttindi og náttúra",3,27,2,1,"Frelsissvipting","Hver sá sem hefur verið sviptur frelsi á rétt á að fá að vita tafarlaust um ástæður þess."
"II. kafli","Mannréttindi og náttúra",3,27,3,1,"Frelsissvipting","Hvern þann sem er handtekinn vegna gruns um refsiverða háttsemi skal án undandráttar leiða fyrir dómara."
"II. kafli","Mannréttindi og náttúra",3,27,3,2,"Frelsissvipting","Sé hann ekki jafnskjótt látinn laus skal dómari, áður en sólarhringur er liðinn, ákveða með rökstuddum úrskurði hvort hann skuli sæta gæsluvarðhaldi."
"II. kafli","Mannréttindi og náttúra",3,27,3,3,"Frelsissvipting","Gæsluvarðhaldi má aðeins beita fyrir sök sem fangelsisvist liggur við."
"II. kafli","Mannréttindi og náttúra",3,27,3,4,"Frelsissvipting","Með lögum skal tryggja rétt þess sem sætir gæsluvarðhaldi til að skjóta úrskurði um það til æðra dóms."
"II. kafli","Mannréttindi og náttúra",3,27,3,5,"Frelsissvipting","Maður skal aldrei sæta gæsluvarðhaldi lengur en nauðsyn krefur."
"II. kafli","Mannréttindi og náttúra",3,27,4,1,"Frelsissvipting","Hver sá sem af öðrum ástæðum en í tengslum við sakamál er sviptur frelsi á rétt á að dómstóll kveði á um lögmæti þess svo fljótt sem verða má."
"II. kafli","Mannréttindi og náttúra",3,27,4,2,"Frelsissvipting","Reynist frelsissvipting ólögmæt skal hann þegar látinn laus."
"II. kafli","Mannréttindi og náttúra",3,27,5,1,"Frelsissvipting","Hafi maður verið sviptur frelsi að ósekju skal hann eiga rétt til skaðabóta."
"II. kafli","Mannréttindi og náttúra",3,28,1,1,"Réttlát málsmeðferð","Öllum ber réttur til að fá úrlausn um réttindi sín og skyldur eða um ákæru á hendur sér um refsiverða háttsemi með réttlátri málsmeðferð innan hæfilegs tíma fyrir óháðum og óhlutdrægum dómstól."
"II. kafli","Mannréttindi og náttúra",3,28,1,2,"Réttlát málsmeðferð","Dómþing skal háð í heyranda hljóði nema dómari ákveði annað lögum samkvæmt til að gæta allsherjarreglu, öryggis ríkisins eða hagsmuna málsaðila og vitna."
"II. kafli","Mannréttindi og náttúra",3,28,2,1,"Réttlát málsmeðferð","Hver sá sem er borinn sökum um refsiverða háttsemi skal talinn saklaus þar til sekt hans hefur verið sönnuð."
"II. kafli","Mannréttindi og náttúra",3,29,1,1,"Bann við ómannúðlegri meðferð","Í lögum má aldrei mæla fyrir um dauðarefsingu."
"II. kafli","Mannréttindi og náttúra",3,29,2,1,"Bann við ómannúðlegri meðferð","Engan má beita pyndingum né annarri ómannúðlegri eða vanvirðandi meðferð eða refsingu."
"II. kafli","Mannréttindi og náttúra",3,29,3,1,"Bann við ómannúðlegri meðferð","Nauðungarvinnu skal engum gert að leysa af hendi."
"II. kafli","Mannréttindi og náttúra",3,30,1,1,"Bann við afturvirkni refsingar","Engum verður gert að sæta refsingu nema hann hafi gerst sekur um háttsemi sem var refsiverð samkvæmt lögum þegar hún átti sér stað, eða má fullkomlega jafna til þeirrar háttsemi."
"II. kafli","Mannréttindi og náttúra",3,30,1,2,"Bann við afturvirkni refsingar","Viðurlög mega ekki verða þyngri en þá voru leyfð í lögum."
"II. kafli","Mannréttindi og náttúra",3,31,1,1,"Bann við herskyldu","Herskyldu má aldrei í lög leiða."
"II. kafli","Mannréttindi og náttúra",3,32,1,1,"Menningarverðmæti","Dýrmætar þjóðareignir sem heyra til íslenskum menningararfi, svo sem þjóðminjar og fornhandrit, má hvorki eyðileggja né afhenda til varanlegrar eignar eða afnota, selja eða veðsetja."
"II. kafli","Mannréttindi og náttúra",3,33,1,1,"Náttúra Íslands og umhverfi","Náttúra Íslands er undirstaða lífs í landinu."
"II. kafli","Mannréttindi og náttúra",3,33,1,2,"Náttúra Íslands og umhverfi","Öllum ber að virða hana og vernda."
"II. kafli","Mannréttindi og náttúra",3,33,2,1,"Náttúra Íslands og umhverfi","Öllum skal með lögum tryggður réttur á heilnæmu umhverfi, fersku vatni, ómenguðu andrúmslofti og óspilltri náttúru."
"II. kafli","Mannréttindi og náttúra",3,33,2,2,"Náttúra Íslands og umhverfi","Í því felst að fjölbreytni lífs og lands sé viðhaldið og náttúruminjar, óbyggð víðerni, gróður og jarðvegur njóti verndar."
"II. kafli","Mannréttindi og náttúra",3,33,2,3,"Náttúra Íslands og umhverfi","Fyrri spjöll skulu bætt eftir föngum."
"II. kafli","Mannréttindi og náttúra",3,33,3,1,"Náttúra Íslands og umhverfi","Nýtingu náttúrugæða skal haga þannig að þau skerðist sem minnst til langframa og réttur náttúrunnar og komandi kynslóða sé virtur."
"II. kafli","Mannréttindi og náttúra",3,33,1,1,"Náttúra Íslands og umhverfi","Með lögum skal tryggja rétt almennings til að fara um landið í lögmætum tilgangi með virðingu fyrir náttúru og umhverfi."
"II. kafli","Mannréttindi og náttúra",3,34,1,1,"Náttúruauðlindir","Auðlindir í náttúru Íslands, sem ekki eru í einkaeigu, eru sameiginleg og ævarandi eign þjóðarinnar."
"II. kafli","Mannréttindi og náttúra",3,34,1,2,"Náttúruauðlindir","Enginn getur fengið auðlindirnar, eða réttindi tengd þeim, til eignar eða varanlegra afnota og aldrei má selja þær eða veðsetja."
"II. kafli","Mannréttindi og náttúra",3,34,2,1,"Náttúruauðlindir","Til auðlinda í þjóðareign teljast náttúrugæði, svo sem nytjastofnar, aðrar auðlindir hafs og hafsbotns innan íslenskrar lögsögu og uppsprettur vatns- og virkjunarréttinda, jarðhita- og námaréttinda."
"II. kafli","Mannréttindi og náttúra",3,34,2,2,"Náttúruauðlindir","Með lögum má kveða á um þjóðareign á auðlindum undir tiltekinni dýpt frá yfirborði jarðar."
"II. kafli","Mannréttindi og náttúra",3,34,3,1,"Náttúruauðlindir","Við nýtingu auðlindanna skal hafa sjálfbæra þróun og almannahag að leiðarljósi."
"II. kafli","Mannréttindi og náttúra",3,34,4,1,"Náttúruauðlindir","Stjórnvöld bera, ásamt þeim sem nýta auðlindirnar, ábyrgð á vernd þeirra."
"II. kafli","Mannréttindi og náttúra",3,34,4,2,"Náttúruauðlindir","Stjórnvöld geta á grundvelli laga veitt leyfi til afnota eða hagnýtingar auðlinda eða annarra takmarkaðra almannagæða, gegn fullu gjaldi og til tiltekins hóflegs tíma í senn."
"II. kafli","Mannréttindi og náttúra",3,34,4,3,"Náttúruauðlindir","Slík leyfi skal veita á jafnræðisgrundvelli og þau leiða aldrei til eignarréttar eða óafturkallanlegs forræðis yfir auðlindunum."
"II. kafli","Mannréttindi og náttúra",3,35,1,1,"Upplýsingar um umhverfi og málsaðild","Stjórnvöldum ber að upplýsa almenning um ástand umhverfis og náttúru og áhrif framkvæmda þar á."
"II. kafli","Mannréttindi og náttúra",3,35,1,2,"Upplýsingar um umhverfi og málsaðild","Stjórnvöld og aðrir skulu upplýsa um aðsteðjandi náttúruvá, svo sem umhverfismengun."
"II. kafli","Mannréttindi og náttúra",3,35,2,1,"Upplýsingar um umhverfi og málsaðild","Með lögum skal tryggja almenningi aðgang að undirbúningi ákvarðana sem hafa áhrif á umhverfi og náttúru, svo og heimild til að leita til hlutlausra úrskurðaraðila."
"II. kafli","Mannréttindi og náttúra",3,35,3,1,"Upplýsingar um umhverfi og málsaðild","Við töku ákvarðana um náttúru Íslands og umhverfi skulu stjórnvöld byggja á meginreglum umhverfisréttar."
"II. kafli","Mannréttindi og náttúra",3,36,1,1,"Dýravernd","Með lögum skal kveðið á um vernd dýra gegn illri meðferð og dýrategunda í útrýmingarhættu."
"III. kafli","Alþingi",4,37,1,1,"Hlutverk","Alþingi fer með löggjafarvald og fjárstjórnarvald ríkisins og hefur eftirlit með framkvæmdarvaldinu svo sem nánar er mælt fyrir um í stjórnarskrá þessari og öðrum lögum."
"III. kafli","Alþingi",4,38,1,1,"Friðhelgi","Alþingi er friðheilagt."
"III. kafli","Alþingi",4,38,1,2,"Friðhelgi","Enginn má raska friði þess né frelsi."
"III. kafli","Alþingi",4,39,1,1,"Alþingiskosningar","Á Alþingi eiga sæti 63 þjóðkjörnir þingmenn, kosnir leynilegri kosningu til fjögurra ára."
"III. kafli","Alþingi",4,39,2,1,"Alþingiskosningar","Atkvæði kjósenda alls staðar á landinu vega jafnt."
"III. kafli","Alþingi",4,39,3,1,"Alþingiskosningar","Heimilt er að skipta landinu upp í kjördæmi. Þau skulu flest vera átta."
"III. kafli","Alþingi",4,39,4,1,"Alþingiskosningar","Samtök frambjóðenda bjóða fram lista, kjördæmislista eða landslista eða hvort tveggja."
"III. kafli","Alþingi",4,39,4,2,"Alþingiskosningar","Frambjóðendur mega bjóða sig fram samtímis á landslista og einum kjördæmislista sömu samtaka."
"III. kafli","Alþingi",4,39,5,1,"Alþingiskosningar","Kjósandi velur með persónukjöri frambjóðendur af listum í sínu kjördæmi eða af landslistum, eða hvort tveggja."
"III. kafli","Alþingi",4,39,5,2,"Alþingiskosningar","Honum er og heimilt að merkja í stað þess við einn kjördæmislista eða einn landslista, og hefur hann þá valið alla frambjóðendur listans jafnt."
"III. kafli","Alþingi",4,39,5,3,"Alþingiskosningar","Heimilt er að mæla fyrir um í lögum að valið sé einskorðað við kjördæmislista eða landslista sömu samtaka."
"III. kafli","Alþingi",4,39,6,1,"Alþingiskosningar","Þingsætum skal úthluta til samtaka frambjóðenda þannig að hver þeirra fái þingmannatölu í sem fyllstu samræmi við heildaratkvæðatölu."
"III. kafli","Alþingi",4,39,7,1,"Alþingiskosningar","Í lögum skal mælt fyrir um hvernig þingsætum skuli úthlutað til frambjóðenda út frá atkvæðastyrk þeirra."
"III. kafli","Alþingi",4,39,8,1,"Alþingiskosningar","Í lögum má mæla fyrir um að tiltekinn fjöldi þingsæta sé bundinn einstökum kjördæmum, þó ekki fleiri en 30 alls."
"III. kafli","Alþingi",4,39,8,2,"Alþingiskosningar","Tala kjósenda á kjörskrá að baki hverju bundnu sæti skal ekki vera lægri en meðaltalið miðað við öll 63 þingsætin."
"III. kafli","Alþingi",4,39,9,1,"Alþingiskosningar","Í kosningalögum skal mælt fyrir um hvernig stuðla skuli að sem jöfnustu hlutfalli kvenna og karla á Alþingi."
"III. kafli","Alþingi",4,39,10,1,"Alþingiskosningar","Breytingar á kjördæmamörkum, tilhögun á úthlutun þingsæta og reglum um framboð, sem fyrir er mælt í lögum, verða aðeins gerðar með samþykki 2/3 hluta atkvæða á Alþingi."
"III. kafli","Alþingi",4,39,10,2,"Alþingiskosningar","Slíkar breytingar má ekki gera ef minna en sex mánuðir eru til kosninga, og gildistaka þeirra skal frestast ef boðað er til kosninga innan sex mánaða frá staðfestingu þeirra."
"III. kafli","Alþingi",4,40,1,1,"Kjörtímabil","Reglulegar alþingiskosningar skulu fara fram eigi síðar en við lok kjörtímabils."
"III. kafli","Alþingi",4,40,2,1,"Kjörtímabil","Kjörtímabil er fjögur ár."
"III. kafli","Alþingi",4,40,3,1,"Kjörtímabil","Upphaf og lok kjörtímabils miðast við sama vikudag í mánuði, talið frá mánaðamótum."
"III. kafli","Alþingi",4,41,1,1,"Kosningaréttur","Kosningarétt við kosningar til Alþingis hafa allir sem eru 18 ára eða eldri þegar kosning fer fram og hafa íslenskan ríkisborgararétt."
"III. kafli","Alþingi",4,41,1,2,"Kosningaréttur","Lögheimili á Íslandi, þegar kosning fer fram, er einnig skilyrði kosningaréttar, nema undantekningar frá þeirri reglu verði ákveðnar í lögum um kosningar til Alþingis."
"III. kafli","Alþingi",4,41,2,1,"Kosningaréttur","Nánari reglur um alþingiskosningar skulu settar í lögum."
"III. kafli","Alþingi",4,42,1,1,"Kjörgengi","Kjörgengur við kosningar til Alþingis er hver sá ríkisborgari sem kosningarétt á til þeirra og hefur óflekkað mannorð."
"III. kafli","Alþingi",4,42,2,1,"Kjörgengi","Hæstaréttardómarar eru þó ekki kjörgengir."
"III. kafli","Alþingi",4,42,3,1,"Kjörgengi","Glati alþingismaður kjörgengi missir hann þann rétt sem þingkosningin veitti honum."
"III. kafli","Alþingi",4,42,3,2,"Kjörgengi","Varamaður tekur þá sæti hans á þingi."
"III. kafli","Alþingi",4,43,1,1,"Gildi kosninga","Alþingi kýs landskjörstjórn til þess að úrskurða um gildi forsetakosningar, kosninga til Alþingis svo og þjóðaratkvæðagreiðslna."
"III. kafli","Alþingi",4,43,2,1,"Gildi kosninga","Landskjörstjórn gefur út kjörbréf forseta og alþingismanna og úrskurðar hvort þingmaður hafi misst kjörgengi."
"III. kafli","Alþingi",4,43,2,2,"Gildi kosninga","Um störf landskjörstjórnar fer eftir nánari fyrirmælum í lögum."
"III. kafli","Alþingi",4,43,3,1,"Gildi kosninga","Úrskurðum landskjörstjórnar má skjóta til dómstóla."
"III. kafli","Alþingi",4,44,1,1,"Starfstími","Alþingi kemur saman eigi síðar en tveimur vikum eftir hverjar alþingiskosningar."
"III. kafli","Alþingi",4,44,2,1,"Starfstími","Í lögum skal kveðið á um samkomudag reglulegs Alþingis og skiptingu starfstíma þess í löggjafarþing."
